"record_id","time","variable","response","part","question"
5,0,"p2_q9a",NA,"2","9a"
5,0,"p2_q10a",NA,"2","10a"
5,0,"p2_q11a",NA,"2","11a"
5,0,"p2_q12a",NA,"2","12a"
5,0,"p2_q13a",NA,"2","13a"
5,0,"p2_q14a",NA,"2","14a"
5,0,"p2_q15a",NA,"2","15a"
5,0,"p2_q16a",NA,"2","16a"
5,0,"p2_q17a",NA,"2","17a"
5,0,"p2_q18a",NA,"2","18a"
5,0,"p2_q19a",NA,"2","19a"
5,0,"p3_q1___0",0,"3","1___0"
5,0,"p3_q1___1",0,"3","1___1"
5,0,"p3_q1___2",0,"3","1___2"
5,0,"p3_q1___3",0,"3","1___3"
5,0,"p3_q1___4",0,"3","1___4"
5,0,"p3_q1___5",0,"3","1___5"
5,0,"p3_q1___6",0,"3","1___6"
5,0,"p4_q1",NA,"4","1"
5,0,"p4_q2",NA,"4","2"
5,0,"p4_q3",NA,"4","3"
5,0,"p4_q5",NA,"4","5"
5,0,"p4_q6",NA,"4","6"
5,0,"p4_q7",NA,"4","7"
5,0,"p4_q9",NA,"4","9"
5,0,"p4_q10",NA,"4","10"
5,0,"p4_q11",NA,"4","11"
5,0,"p4_q12",NA,"4","12"
5,0,"p4_q13",NA,"4","13"
5,0,"p4_q14",NA,"4","14"
5,0,"p4_q15",NA,"4","15"
5,0,"p4_q16",NA,"4","16"
5,0,"p4_q17",NA,"4","17"
5,0,"p4_q18",NA,"4","18"
5,0,"p4_q19",NA,"4","19"
5,0,"p4_q20",NA,"4","20"
5,0,"p4_q21",NA,"4","21"
5,0,"p4_q22",NA,"4","22"
5,0,"p4_q23",NA,"4","23"
5,0,"p4_q24",NA,"4","24"
5,5,"p1_q1",NA,"1","1"
5,5,"p1_q2",NA,"1","2"
5,5,"p1_q3",NA,"1","3"
5,5,"p1_q4",NA,"1","4"
5,5,"p1_q5",NA,"1","5"
5,5,"p1_q6",NA,"1","6"
5,5,"p1_q7",NA,"1","7"
5,5,"p1_q8",NA,"1","8"
5,5,"p1_q9",NA,"1","9"
5,5,"p1_q10",NA,"1","10"
5,5,"p1_q11",NA,"1","11"
5,5,"p1_q12",NA,"1","12"
5,5,"p1_q13",NA,"1","13"
5,5,"p1_q14",NA,"1","14"
5,5,"p1_q15",NA,"1","15"
5,5,"p1_q16",NA,"1","16"
5,5,"p1_q17",NA,"1","17"
5,5,"p1_q18",NA,"1","18"
5,5,"p1_q19",NA,"1","19"
5,5,"p1_q20",NA,"1","20"
5,5,"p1_q22",NA,"1","22"
5,5,"p1_q21",NA,"1","21"
5,5,"p1_q23",NA,"1","23"
5,5,"p1_q24",NA,"1","24"
5,5,"p1_q25",NA,"1","25"
5,5,"p1_q26",NA,"1","26"
5,5,"p1_q27",NA,"1","27"
5,5,"p1_q28",NA,"1","28"
5,5,"p1_q29",NA,"1","29"
5,5,"p1_q30",NA,"1","30"
5,5,"p1_q31",NA,"1","31"
5,5,"p1_q32",NA,"1","32"
5,5,"p1_q33",NA,"1","33"
5,5,"p1_q34",NA,"1","34"
5,5,"p1_q35",NA,"1","35"
5,5,"p1_q36",NA,"1","36"
5,5,"p1_q37",NA,"1","37"
5,5,"p1_q38",NA,"1","38"
5,5,"p1_q39",NA,"1","39"
5,5,"p1_q40",NA,"1","40"
5,5,"p1_q41",NA,"1","41"
5,5,"p2_example",NA,"2",NA
5,5,"p2_q1a",NA,"2","1a"
5,5,"p2_q2a",NA,"2","2a"
5,5,"p2_q3a",NA,"2","3a"
5,5,"p2_q4a",NA,"2","4a"
5,5,"p2_q5a",NA,"2","5a"
5,5,"p2_q6a",NA,"2","6a"
5,5,"p2_q7a",NA,"2","7a"
5,5,"p2_q8a",NA,"2","8a"
5,5,"p2_q9a",NA,"2","9a"
5,5,"p2_q10a",NA,"2","10a"
5,5,"p2_q11a",NA,"2","11a"
5,5,"p2_q12a",NA,"2","12a"
5,5,"p2_q13a",NA,"2","13a"
5,5,"p2_q14a",NA,"2","14a"
5,5,"p2_q15a",NA,"2","15a"
5,5,"p2_q16a",NA,"2","16a"
5,5,"p2_q17a",NA,"2","17a"
5,5,"p2_q18a",NA,"2","18a"
5,5,"p2_q19a",NA,"2","19a"
5,5,"p3_q1___0",0,"3","1___0"
5,5,"p3_q1___1",0,"3","1___1"
5,5,"p3_q1___2",0,"3","1___2"
5,5,"p3_q1___3",0,"3","1___3"
5,5,"p3_q1___4",0,"3","1___4"
5,5,"p3_q1___5",0,"3","1___5"
5,5,"p3_q1___6",0,"3","1___6"
5,5,"p4_q1",NA,"4","1"
5,5,"p4_q2",NA,"4","2"
5,5,"p4_q3",NA,"4","3"
5,5,"p4_q5",NA,"4","5"
5,5,"p4_q6",NA,"4","6"
5,5,"p4_q7",NA,"4","7"
5,5,"p4_q9",NA,"4","9"
5,5,"p4_q10",NA,"4","10"
5,5,"p4_q11",NA,"4","11"
5,5,"p4_q12",NA,"4","12"
5,5,"p4_q13",NA,"4","13"
5,5,"p4_q14",NA,"4","14"
5,5,"p4_q15",NA,"4","15"
5,5,"p4_q16",NA,"4","16"
5,5,"p4_q17",NA,"4","17"
5,5,"p4_q18",NA,"4","18"
5,5,"p4_q19",NA,"4","19"
5,5,"p4_q20",NA,"4","20"
5,5,"p4_q21",NA,"4","21"
5,5,"p4_q22",NA,"4","22"
5,5,"p4_q23",NA,"4","23"
5,5,"p4_q24",NA,"4","24"
6,0,"p1_q1",9,"1","1"
6,0,"p1_q2",7,"1","2"
6,0,"p1_q3",7,"1","3"
6,0,"p1_q4",7,"1","4"
6,0,"p1_q5",7,"1","5"
6,0,"p1_q6",6,"1","6"
6,0,"p1_q7",9,"1","7"
6,0,"p1_q8",6,"1","8"
6,0,"p1_q9",6,"1","9"
6,0,"p1_q10",8,"1","10"
6,0,"p1_q11",9,"1","11"
6,0,"p1_q12",9,"1","12"
6,0,"p1_q13",4,"1","13"
6,0,"p1_q14",7,"1","14"
6,0,"p1_q15",5,"1","15"
6,0,"p1_q16",5,"1","16"
6,0,"p1_q17",7,"1","17"
6,0,"p1_q18",6,"1","18"
6,0,"p1_q19",3,"1","19"
6,0,"p1_q20",6,"1","20"
6,0,"p1_q22",8,"1","22"
6,0,"p1_q21",6,"1","21"
6,0,"p1_q23",8,"1","23"
6,0,"p1_q24",9,"1","24"
6,0,"p1_q25",9,"1","25"
6,0,"p1_q26",7,"1","26"
6,0,"p1_q27",3,"1","27"
6,0,"p1_q28",4,"1","28"
6,0,"p1_q29",3,"1","29"
6,0,"p1_q30",8,"1","30"
6,0,"p1_q31",9,"1","31"
6,0,"p1_q32",2,"1","32"
6,0,"p1_q33",6,"1","33"
6,0,"p1_q34",8,"1","34"
6,0,"p1_q35",6,"1","35"
6,0,"p1_q36",4,"1","36"
6,0,"p1_q37",9,"1","37"
6,0,"p1_q38",9,"1","38"
6,0,"p1_q39",9,"1","39"
6,0,"p1_q40",9,"1","40"
6,0,"p1_q41",7,"1","41"
6,0,"p2_example",0,"2",NA
6,0,"p2_q1a",0,"2","1a"
6,0,"p2_q2a",1,"2","2a"
6,0,"p2_q3a",2,"2","3a"
6,0,"p2_q4a",2,"2","4a"
6,0,"p2_q5a",2,"2","5a"
6,0,"p2_q6a",6,"2","6a"
6,0,"p2_q7a",0,"2","7a"
6,0,"p2_q8a",2,"2","8a"
6,0,"p2_q9a",0,"2","9a"
6,0,"p2_q10a",6,"2","10a"
6,0,"p2_q11a",2,"2","11a"
6,0,"p2_q12a",2,"2","12a"
6,0,"p2_q13a",5,"2","13a"
6,0,"p2_q14a",0,"2","14a"
6,0,"p2_q15a",5,"2","15a"
6,0,"p2_q16a",5,"2","16a"
6,0,"p2_q17a",1,"2","17a"
6,0,"p2_q18a",0,"2","18a"
6,0,"p2_q19a",0,"2","19a"
6,0,"p3_q1___0",1,"3","1___0"
6,0,"p3_q1___1",0,"3","1___1"
6,0,"p3_q1___2",0,"3","1___2"
6,0,"p3_q1___3",0,"3","1___3"
6,0,"p3_q1___4",1,"3","1___4"
6,0,"p3_q1___5",1,"3","1___5"
6,0,"p3_q1___6",0,"3","1___6"
6,0,"p4_q1",0,"4","1"
6,0,"p4_q2",0,"4","2"
6,0,"p4_q3",3,"4","3"
6,0,"p4_q5",2,"4","5"
6,0,"p4_q6",0,"4","6"
6,0,"p4_q7",0,"4","7"
6,0,"p4_q9",1,"4","9"
6,0,"p4_q10",0,"4","10"
6,0,"p4_q11",0,"4","11"
6,0,"p4_q12",1,"4","12"
6,0,"p4_q13",0,"4","13"
6,0,"p4_q14",0,"4","14"
6,0,"p4_q15",0,"4","15"
6,0,"p4_q16",5,"4","16"
6,0,"p4_q17",3,"4","17"
6,0,"p4_q18",2,"4","18"
6,0,"p4_q19",1,"4","19"
6,0,"p4_q20",0,"4","20"
6,0,"p4_q21",4,"4","21"
6,0,"p4_q22",4,"4","22"
6,0,"p4_q23",4,"4","23"
6,0,"p4_q24",4,"4","24"
7,0,"p1_q1",NA,"1","1"
7,0,"p1_q2",NA,"1","2"
7,0,"p1_q3",NA,"1","3"
7,0,"p1_q4",NA,"1","4"
7,0,"p1_q5",NA,"1","5"
7,0,"p1_q6",NA,"1","6"
7,0,"p1_q7",NA,"1","7"
7,0,"p1_q8",NA,"1","8"
7,0,"p1_q9",NA,"1","9"
7,0,"p1_q10",NA,"1","10"
7,0,"p1_q11",NA,"1","11"
7,0,"p1_q12",NA,"1","12"
7,0,"p1_q13",NA,"1","13"
7,0,"p1_q14",NA,"1","14"
7,0,"p1_q15",NA,"1","15"
7,0,"p1_q16",NA,"1","16"
7,0,"p1_q17",NA,"1","17"
7,0,"p1_q18",NA,"1","18"
7,0,"p1_q19",NA,"1","19"
7,0,"p1_q20",NA,"1","20"
7,0,"p1_q22",NA,"1","22"
7,0,"p1_q21",NA,"1","21"
7,0,"p1_q23",NA,"1","23"
7,0,"p1_q24",NA,"1","24"
7,0,"p1_q25",NA,"1","25"
7,0,"p1_q26",NA,"1","26"
7,0,"p1_q27",NA,"1","27"
7,0,"p1_q28",NA,"1","28"
7,0,"p1_q29",NA,"1","29"
7,0,"p1_q30",NA,"1","30"
7,0,"p1_q31",NA,"1","31"
7,0,"p1_q32",NA,"1","32"
7,0,"p1_q33",NA,"1","33"
7,0,"p1_q34",NA,"1","34"
7,0,"p1_q35",NA,"1","35"
7,0,"p1_q36",NA,"1","36"
7,0,"p1_q37",NA,"1","37"
7,0,"p1_q38",NA,"1","38"
7,0,"p1_q39",NA,"1","39"
7,0,"p1_q40",NA,"1","40"
7,0,"p1_q41",NA,"1","41"
7,0,"p2_example",NA,"2",NA
7,0,"p2_q1a",NA,"2","1a"
7,0,"p2_q2a",NA,"2","2a"
7,0,"p2_q3a",NA,"2","3a"
7,0,"p2_q4a",NA,"2","4a"
7,0,"p2_q5a",NA,"2","5a"
7,0,"p2_q6a",NA,"2","6a"
7,0,"p2_q7a",NA,"2","7a"
7,0,"p2_q8a",NA,"2","8a"
7,0,"p2_q9a",NA,"2","9a"
7,0,"p2_q10a",NA,"2","10a"
7,0,"p2_q11a",NA,"2","11a"
7,0,"p2_q12a",NA,"2","12a"
7,0,"p2_q13a",NA,"2","13a"
7,0,"p2_q14a",NA,"2","14a"
